Group,n,Mean,SD,Min,Max
With DK,1,2670.3720240000002,,2670.3720240000002,2670.3720240000002
Without DK,1,1244.498108,,1244.498108,1244.498108
Evo-MCTS,5,2670.374,1879.930177408193,946.32,5502.95
